万得代码,交易所代码,自然日,时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量
688001.SH,688001,20220812,93006580,0,209430,A,S,430000,250
688001.SH,688001,20220812,93006660,0,209852,A,S,450200,2000
688001.SH,688001,20220812,93006720,0,210209,A,S,373800,400
688001.SH,688001,20220812,93006730,0,210336,A,S,374400,356
688001.SH,688001,20220812,93006770,0,210396,A,S,374500,400
688001.SH,688001,20220812,93006790,0,210557,A,B,305000,500
688001.SH,688001,20220812,93006830,0,207704,D,S,373800,63
688001.SH,688001,20220812,93006830,0,210851,A,B,370000,1000
688001.SH,688001,20220812,93006860,0,210954,A,S,374300,200
688001.SH,688001,20220812,93006890,0,211034,A,S,374400,317
688001.SH,688001,20220812,93006890,0,211135,A,S,373800,200
688001.SH,688001,20220812,93007270,0,212952,A,B,372000,400
688001.SH,688001,20220812,93007270,0,213061,A,S,373000,500
688001.SH,688001,20220812,93007420,0,213874,A,S,373800,200
688001.SH,688001,20220812,93007490,0,214230,A,S,374300,200
688001.SH,688001,20220812,93007520,0,214354,A,B,360100,2000
688001.SH,688001,20220812,93007550,0,214450,A,S,373800,300
688001.SH,688001,20220812,93007550,0,214452,A,S,373800,400
688001.SH,688001,20220812,93007630,0,214984,A,S,380700,8290
688001.SH,688001,20220812,93008120,0,217214,A,S,373800,200
688001.SH,688001,20220812,93008220,0,139500,D,S,375400,1200
688001.SH,688001,20220812,93008930,0,192559,D,S,374400,1330
688001.SH,688001,20220812,93009260,0,222802,A,S,380700,10000
688001.SH,688001,20220812,93009310,0,223161,A,B,372100,200
688001.SH,688001,20220812,93009450,0,224041,A,S,373800,200
688001.SH,688001,20220812,93009560,0,224730,A,S,373000,200
688001.SH,688001,20220812,93009660,0,225370,A,S,374300,500
688001.SH,688001,20220812,93009840,0,225654,A,S,405000,500
688001.SH,688001,20220812,93009840,0,225999,A,S,382000,5192
688001.SH,688001,20220812,93010080,0,227288,A,S,374600,2000
688001.SH,688001,20220812,93010280,0,228159,A,S,374900,500
